--- Analyzing Designations by Continent (Percentages) ---

  Designation: B.1.17.NmC5, Percentage: 0.15%
  Designation: B.1.2.NmC5, Percentage: 0.15%
  Designation: B.1.20.NmC1, Percentage: 0.15%
  Designation: A.1.NmC2, Percentage: 0.07%
  Designation: A.1.NmC3, Percentage: 0.07%
  Designation: B.1.10, Percentage: 0.07%
  Designation: B.1.11, Percentage: 0.07%
  Designation: B.1.13.NmC2, Percentage: 0.07%
  Designation: B.1.NmC1, Percentage: 0.07%
  Designation: F.1, Percentage: 0.07%
  Designation: F.3, Percentage: 0.07%
  Designation: F.6, Percentage: 0.07%

Country:  Ghana (Total observed designations in this group: 17)
  Designation: A.2, Percentage: 70.59%
  Designation: A.2.3, Percentage: 11.76%
  Designation: A, Percentage: 5.88%
  Designation: A.2.1, Percentage: 5.88%
  Designation: B.1.2, Percentage: 5.88%

Country:  Guinea (Total observed designations in this group: 2)
  Designation: A.2.2, Percentage: 100.00%

Country:  India (Total observed designations in this group: 1)
  Designation: A.2.1, Percentage: 100.00%

Country:  Ireland (Total observed designations in this group: 194)
  Designation: A.1.NmC1, Percentage: 53.61%
  Designation: B.1.17.NmC2, Percentage: 12.37%
  Designation: B.1.13.NmC1, Percentage: 11.34%
  Designation: B.1, Percentage: 5.67%
  Designation: E.2, Percentage: 3.09%
  Designation: B.1.NmC3, Percentage: 2.58%
  Designation: B.1.17.NmC3, Percentage: 2.06%
  Designation: B.1.1, Percentage: 1.55%
  Designation: F.4, Percentage: 1.55%
  Designation: B.1.13.NmC2, Percentage: 1.03%
  Designation: A.1.NmC2, Percentage: 0.52%
  Designation: B.1.10, Percentage: 0.52%
  Designation: B.1.13.NmC3, Percentage: 0.52%
  Designation: B.1.17.NmC1, Percentage: 0.52%
  Designation: B.1.2, Percentage: 0.52%
  Designation: B.1.2.NmC2, Percentage: 0.52%
  Designation: B.1.9, Percentage: 0.52%
  Designation: C.1, Percentage: 0.52%
  Designation: C.1.1, Percentage: 0.52%
  Designation: E.1, Percentage: 0.52%

Country:  Israel (Total observed designations in this group: 2)
  Designation: A.1, Percentage: 50.00%
  Designation: B.1.NmC7, Percentage: 50.00%

Country:  Italy (Total observed designations in this group: 67)
  Designation: B.1.1, Percentage: 43.28%
  Designation: B.1.3, Percentage: 11.94%
  Designation: B.1.NmC2, Percentage: 11.94%
  Designation: B.1.13, Percentage: 8.96%
  Designation: B.1.2, Percentage: 4.48%
  Designation: B.1.NmC4, Percentage: 4.48%
  Designation: B.1.13.NmC2, Percentage: 2.99%
  Designation: A.2.3, Percentage: 1.49%
  Designation: B.1, Percentage: 1.49%
  Designation: B.1.13.NmC1, Percentage: 1.49%
  Designation: B.1.15, Percentage: 1.49%
  Designation: B.1.17.NmC2, Percentage: 1.49%
  Designation: B.1.19, Percentage: 1.49%
  Designation: B.1.3.NmC1, Percentage: 1.49%
  Designation: B.1.NmC9, Percentage: 1.49%

Country:  Japan (Total observed designations in this group: 62)
  Designation: C.1.NmC1, Percentage: 77.42%
  Designation: C.1, Percentage: 9.68%
  Designation: B.1.NmC3, Percentage: 6.45%
  Designation: B.1.13.NmC1, Percentage: 4.84%
  Designation: B.1.3.NmC2, Percentage: 1.61%

Country:  Mexico (Total observed designations in this group: 1)
  Designation: B.1.13.NmC2, Percentage: 100.00%

Country:  Netherlands (Total observed designations in this group: 3)
  Designation: B.1.1, Percentage: 33.33%
  Designation: B.1.13.NmC1, Percentage: 33.33%
  Designation: B.1.NmC1, Percentage: 33.33%

Country:  Nigeria (Total observed designations in this group: 169)
  Designation: A.2.3, Percentage: 31.95%
  Designation: A, Percentage: 28.40%
  Designation: A.2, Percentage: 26.04%
  Designation: A.1, Percentage: 5.33%
  Designation: A.3, Percentage: 5.33%
  Designation: A.2.1, Percentage: 0.59%
  Designation: A.2.2, Percentage: 0.59%
  Designation: B.1.13, Percentage: 0.59%
  Designation: B.1.NmC1, Percentage: 0.59%
  Designation: B.1.NmC7, Percentage: 0.59%

Country:  Peru (Total observed designations in this group: 10)
  Designation: B.1.NmC2, Percentage: 100.00%

Country:  Philippines (Total observed designations in this group: 2)
  Designation: B.1.3, Percentage: 50.00%
  Designation: B.1.NmC1, Percentage: 50.00%

Country:  Portugal (Total observed designations in this group: 701)
  Designation: B.1.17.NmC1, Percentage: 34.24%
  Designation: B.1, Percentage: 19.97%
  Designation: C.1.1.NmC1, Percentage: 7.99%
  Designation: C.1.1, Percentage: 5.28%
  Designation: E.2, Percentage: 4.28%
  Designation: B.1.1, Percentage: 3.99%
  Designation: B.1.17.NmC5, Percentage: 3.99%
  Designation: A.1.NmC2, Percentage: 3.14%
  Designation: B.1.9, Percentage: 2.71%
  Designation: B.1.17.NmC2, Percentage: 2.00%
  Designation: B.1.17.NmC3, Percentage: 2.00%
  Designation: B.1.NmC7, Percentage: 2.00%
  Designation: F.4, Percentage: 2.00%
  Designation: B.1.NmC10, Percentage: 1.00%
  Designation: E.1, Percentage: 0.86%
  Designation: A.1.NmC1, Percentage: 0.71%
  Designation: E.3, Percentage: 0.57%
  Designation: F.5, Percentage: 0.57%
  Designation: B.1.19, Percentage: 0.43%
  Designation: F.2, Percentage: 0.43%
  Designation: B.1.14, Percentage: 0.29%
  Designation: B.1.3, Percentage: 0.29%
  Designation: D.1, Percentage: 0.29%
  Designation: A.2.1, Percentage: 0.14%
  Designation: A.2.3, Percentage: 0.14%
  Designation: B.1.17.NmC4, Percentage: 0.14%
  Designation: B.1.5, Percentage: 0.14%
  Designation: B.1.7, Percentage: 0.14%
  Designation: B.1.NmC1, Percentage: 0.14%
  Designation: F.1.NmC1, Percentage: 0.14%

Country:  Romania (Total observed designations in this group: 20)
  Designation: B.1.1, Percentage: 45.00%
  Designation: B.1.1.NmC1, Percentage: 45.00%
  Designation: B.1.13, Percentage: 5.00%
  Designation: B.1.19, Percentage: 5.00%

Country:  Sierra Leone (Total observed designations in this group: 129)
  Designation: A.2.2, Percentage: 100.00%

Country:  Singapore (Total observed designations in this group: 1)
  Designation: A.1, Percentage: 100.00%

Country:  Slovakia (Total observed designations in this group: 15)
  Designation: B.1, Percentage: 40.00%
  Designation: B.1.NmC1, Percentage: 13.33%
  Designation: B.1.NmC3, Percentage: 13.33%
  Designation: B.1.22, Percentage: 6.67%
  Designation: B.1.3, Percentage: 6.67%
  Designation: E.1, Percentage: 6.67%
  Designation: F.1.NmC1, Percentage: 6.67%
  Designation: F.4, Percentage: 6.67%

Country:  Slovenia (Total observed designations in this group: 48)
  Designation: A.1.NmC1, Percentage: 39.58%
  Designation: B.1.NmC7, Percentage: 25.00%
