--- Analyzing Designations by Continent (Percentages) ---

  Designation: B.D.4.1.2, Percentage: 3.90%
  Designation: B.D.E.1, Percentage: 2.97%
  Designation: B.D.4.1.1.NmC1, Percentage: 2.78%
  Designation: B.D.2.NmC1, Percentage: 1.86%
  Designation: B.D.1, Percentage: 1.30%
  Designation: B.D.E.5, Percentage: 0.37%
  Designation: B.D.2.NmC2, Percentage: 0.19%
  Designation: B.D.4.1.1.NmC2, Percentage: 0.19%
  Designation: B.D.4.1.3.NmC1, Percentage: 0.19%
  Designation: B.D.4.1.NmC1, Percentage: 0.19%
  Designation: B.D.4.NmC3, Percentage: 0.19%
  Designation: B.D.E.2.NmC1, Percentage: 0.19%
  Designation: B.D.E.3.NmC2, Percentage: 0.19%
  Designation: B.D.E.6, Percentage: 0.19%

Country:  Jordan (Total observed designations in this group: 40)
  Designation: B.D.4.1.2, Percentage: 97.50%
  Designation: B.D.3.NmC1, Percentage: 2.50%

Country:  Kenya (Total observed designations in this group: 1023)
  Designation: B.D.4.1.2, Percentage: 26.69%
  Designation: B.D.E.3.NmC3, Percentage: 12.71%
